File Name: ,Test Description: ,Operator: ,Special Comments: ,Date and Time: 21 Dec 2020_115135,Sampling Rate (Hz): 100,
Calibration Constants,8.625 N/V,7.791 N/V,7.941 N/V
Offsets,8.627 N,8.026 N,8.016 N
Micrometer,12.800 mm,12.800 mm,12.800 mm
Time (s),LC-X (N),LC-Y(N),LC-Z (N),Angle (deg),Est. Speed (rev/s)
4.660,8.621,8.024,8.014,0.900,0.000
4.670,8.627,8.026,8.014,0.900,0.000
4.680,8.627,8.024,8.019,0.900,0.000
4.690,8.624,8.021,8.011,0.900,0.000
4.700,8.621,8.016,8.014,0.900,0.000
4.710,8.624,8.026,8.011,0.900,0.000
4.720,8.630,8.024,8.008,0.900,0.000
4.730,8.630,8.026,8.019,0.900,0.000
4.740,8.624,8.026,8.019,0.900,0.000
4.750,8.624,8.029,8.016,0.900,0.000
4.760,8.624,8.021,8.014,0.900,0.000
4.770,8.627,8.026,8.011,0.900,0.000
4.780,8.621,8.021,8.014,0.900,0.000
4.790,8.627,8.024,8.011,0.900,0.000
4.800,8.624,8.026,8.014,0.900,0.000
4.810,8.624,8.026,8.014,0.900,0.000
4.820,8.624,8.024,8.019,0.900,0.000
4.830,8.624,8.026,8.014,0.000,0.000
4.840,8.624,8.026,8.016,0.900,0.000
4.850,8.630,8.026,8.019,0.900,0.000
4.860,8.627,8.026,8.016,0.900,0.000
4.870,8.621,8.026,8.016,0.900,0.000
4.880,8.630,8.026,8.021,0.900,0.000
4.890,8.624,8.029,8.019,0.900,0.000
4.900,8.624,8.029,8.014,0.900,0.000
4.910,8.624,8.026,8.019,0.900,0.000
4.920,8.624,8.029,8.011,0.900,0.000
4.930,8.621,8.024,8.011,0.900,0.000
4.940,8.627,8.026,8.019,0.900,0.000
4.950,8.630,8.026,8.019,0.900,0.000
4.960,8.630,8.024,8.019,0.900,0.000
4.970,8.627,8.024,8.011,0.900,0.000
4.980,8.624,8.024,8.011,0.900,0.000
4.990,8.627,8.019,8.011,0.900,0.000
5.000,8.627,8.026,8.014,0.900,0.000
5.010,8.624,8.029,8.016,0.900,0.000
5.020,8.627,8.026,8.019,0.900,0.000
5.030,8.624,8.024,8.014,0.900,0.000
5.040,8.624,8.024,8.014,0.900,0.000
5.050,8.624,8.024,8.011,0.900,0.000
5.060,8.621,8.024,8.011,0.900,0.000
5.070,8.627,8.024,8.016,0.900,0.000
5.080,8.627,8.026,8.016,0.900,0.000
5.090,8.627,8.021,8.016,0.900,0.000
5.100,8.627,8.024,8.011,0.900,0.000
5.110,8.624,8.024,8.014,0.900,0.000
5.120,8.624,8.026,8.014,0.900,0.000
